Year,Name of test,Descriptor,Geographical region,Sex,Value
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 6,Female,94.2
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 6,Female,82.1
2022,Percentage of children who successfully completed tasks of Addition,,Grade 6,Female,83.8
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 6,Female,78.5
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 6,Total,87.9
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 6,Total,74.7
2022,Percentage of children who successfully completed tasks of Addition,,Grade 6,Total,81.9
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 6,Total,72.9
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 9/ 3rd Form,Male,91.6
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 9/ 3rd Form,Male,72.9
2022,Percentage of children who successfully completed tasks of Addition,,Grade 9/ 3rd Form,Male,83.1
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 9/ 3rd Form,Male,70.3
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 9/ 3rd Form,Female,(94.4)
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 9/ 3rd Form,Female,(85.7)
2022,Percentage of children who successfully completed tasks of Addition,,Grade 9/ 3rd Form,Female,(92.4)
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 9/ 3rd Form,Female,(83.7)
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 9/ 3rd Form,Total,93.2
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 9/ 3rd Form,Total,80.3
2022,Percentage of children who successfully completed tasks of Addition,,Grade 9/ 3rd Form,Total,88.4
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 9/ 3rd Form,Total,78.0
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 2-3,Male,59.6
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 2-3,Male,74
2022,Percentage of children who successfully completed tasks of Addition,,Grade 2-3,Male,53.8
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 2-3,Male,37.4
2022,Percentage of children who demonstrate foundational numeracy skills,,Grade 2-3,Male,28.6
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 2-3,Female,63.6
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 2-3,Female,76.7
2022,Percentage of children who successfully completed tasks of Addition,,Grade 2-3,Female,63.0
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 2-3,Female,37.5
2022,Percentage of children who demonstrate foundational numeracy skills,,Grade 2-3,Female,29.1
