Year,Form of Violence,Partner Status,Geographical Region,Group,Age Group,Educational Status,Age at First Union,Value
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,,25-34,,,5.0
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,,35-49,,,7.3
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,Legally married,,,,6.1
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,Common-law union,,,,6.4
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,Visiting relationship,,,,6.2
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,Previously married/partnered,,,,5.1
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,Lowest,,,,5.3
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,Second,,,,6.3
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,Middle,,,,5.9
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,Fourth,,,,6.8
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,Highest,,,,5.7
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,Jamaica,,,,,0.7
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,KMA,,,,,0.7
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,Other Urban Centres,,,,,0.6
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,Rural,,,,,0.7
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,,15-24,,,0.0
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,,25-34,,,1.0
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,,35-49,,,0.7
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,Legally married,,,,0.4
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,Common-law union,,,,0.6
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,Visiting relationship,,,,0.9
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,Previously married/partnered,,,,0.7
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,Lowest,,,,0.7
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,Second,,,,0.5
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,Middle,,,,1.3
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,Fourth,,,,0.7
2021,All Three Types of Violence,Intimate Partner during Last 12 Months,,Highest,,,,0.0
2016,Economic Violence,Lifetime Intimate Partner,Urban,,,,,7.9
2016,Emotional Violence,Lifetime Intimate Partner,Urban,,,,,28.3
2016,Physical Violence,Lifetime Intimate Partner,Urban,,,,,25
2016,Sexual Violence,Lifetime Intimate Partner,Urban,,,,,8.6
2016,Physical and or sexual Violence,Lifetime Intimate Partner,Urban,,,,,28.1
2016,Economic Violence,Lifetime Intimate Partner,Rural,,,,,9.3
2016,Emotional Violence,Lifetime Intimate Partner,Rural,,,,,29.4
2016,Physical Violence,Lifetime Intimate Partner,Rural,,,,,25.4
2016,Sexual Violence,Lifetime Intimate Partner,Rural,,,,,6.5
2016,Physical and or sexual Violence,Lifetime Intimate Partner,Rural,,,,,27.5
2016,Economic Violence,Lifetime Intimate Partner,,All Ever-partnered,,,,8.5
2016,Emotional Violence,Lifetime Intimate Partner,,All Ever-partnered,,,,28.8
2016,Physical Violence,Lifetime Intimate Partner,,All Ever-partnered,,,,25.2
2016,Sexual Violence,Lifetime Intimate Partner,,All Ever-partnered,,,,7.7
2016,Physical and or sexual Violence,Lifetime Intimate Partner,,All Ever-partnered,,,,27.8
2016,Emotional Violence,Current Intimate Partner,Urban,,,,,12
2016,Physical Violence,Current Intimate Partner,Urban,,,,,6.2
2016,Sexual Violence,Current Intimate Partner,Urban,,,,,2.1
2016,Physical and or sexual Violence,Current Intimate Partner,Urban,,,,,7.5
2016,Emotional Violence,Current Intimate Partner,Rural,,,,,10
2016,Physical Violence,Current Intimate Partner,Rural,,,,,5.4
2016,Sexual Violence,Current Intimate Partner,Rural,,,,,1.6
2016,Physical and or sexual Violence,Current Intimate Partner,Rural,,,,,6.3
2016,Emotional Violence,Current Intimate Partner,,All Ever-partnered,,,,11.1
2016,Physical Violence,Current Intimate Partner,,All Ever-partnered,,,,5.9
2016,Sexual Violence,Current Intimate Partner,,All Ever-partnered,,,,1.9
2016,Physical and or sexual Violence,Current Intimate Partner,,All Ever-partnered,,,,7.0
2016,Physical Violence,Lifetime Partner,,,15-19,,,13.2
2016,Physical Violence,Lifetime Partner,,,20-24,,,20.6
2016,Physical Violence,Lifetime Partner,,,25-29,,,31
2016,Physical Violence,Lifetime Partner,,,30-34,,,23.7
2016,Physical Violence,Lifetime Partner,,,35-39,,,29.9
2016,Physical Violence,Lifetime Partner,,,40-44,,,28.2
2016,Physical Violence,Lifetime Partner,,,45-49,,,25.1
2016,Physical Violence,Lifetime Partner,,,50-54,,,21.1
2016,Physical Violence,Lifetime Partner,,,55-59,,,26
2016,Physical Violence,Lifetime Partner,,,60-64,,,26.6
2016,Physical Violence,Current Partner,,,15-19,,,9.6
2016,Physical Violence,Current Partner,,,20-24,,,7
2016,Physical Violence,Current Partner,,,25-29,,,12.2
2016,Physical Violence,Current Partner,,,30-34,,,4.3
2016,Physical Violence,Current Partner,,,35-39,,,6.2
2016,Physical Violence,Current Partner,,,40-44,,,6.3
2016,Physical Violence,Current Partner,,,45-49,,,5
2016,Physical Violence,Current Partner,,,50-54,,,2.8
2016,Physical Violence,Current Partner,,,55-59,,,2.2
2016,Physical Violence,Current Partner,,,60-64,,,1.5
2016,Sexual Violence,Lifetime Partner,,,15-19,,,5.1
2016,Sexual Violence,Lifetime Partner,,,20-24,,,8.4
2016,Sexual Violence,Lifetime Partner,,,25-29,,,9.6
2016,Sexual Violence,Lifetime Partner,,,30-34,,,3.6
2016,Sexual Violence,Lifetime Partner,,,35-39,,,10
2016,Sexual Violence,Lifetime Partner,,,40-44,,,7.2
2016,Sexual Violence,Lifetime Partner,,,45-49,,,8.6
2016,Sexual Violence,Lifetime Partner,,,50-54,,,6.5
2016,Sexual Violence,Lifetime Partner,,,55-59,,,9
2016,Sexual Violence,Lifetime Partner,,,60-64,,,8.8
2016,Sexual Violence,Current Partner,,,15-19,,,1.4
2016,Sexual Violence,Current Partner,,,20-24,,,3.5
2016,Sexual Violence,Current Partner,,,25-29,,,4.7
2016,Sexual Violence,Current Partner,,,30-34,,,0.7
2016,Sexual Violence,Current Partner,,,35-39,,,5.1
2016,Sexual Violence,Current Partner,,,40-44,,,0.8
2016,Sexual Violence,Current Partner,,,45-49,,,0.8
2016,Sexual Violence,Current Partner,,,50-54,,,2.8
2016,Sexual Violence,Current Partner,,,55-59,,,2.2
2016,Sexual Violence,Current Partner,,,60-64,,,1.1
2016,Physical and/or Sexual Violence Violence,Lifetime Partner,,,15-19,,,18.3
2016,Physical and/or Sexual Violence Violence,Lifetime Partner,,,20-24,,,23.6
2016,Physical and/or Sexual Violence Violence,Lifetime Partner,,,25-29,,,32.7
2016,Physical and/or Sexual Violence Violence,Lifetime Partner,,,30-34,,,25.7
2016,Physical and/or Sexual Violence Violence,Lifetime Partner,,,35-39,,,32.4
2016,Physical and/or Sexual Violence Violence,Lifetime Partner,,,40-44,,,30.5
2016,Physical and/or Sexual Violence Violence,Lifetime Partner,,,45-49,,,27.8
2016,Physical and/or Sexual Violence Violence,Lifetime Partner,,,50-54,,,23.5
2016,Physical and/or Sexual Violence Violence,Lifetime Partner,,,55-59,,,29.4
2016,Physical and/or Sexual Violence Violence,Lifetime Partner,,,60-64,,,30.1
2016,Physical and/or Sexual Violence,Current Partner,,,15-19,,,11.1
2016,Physical and/or Sexual Violence,Current Partner,,,20-24,,,9.3
2016,Physical and/or Sexual Violence,Current Partner,,,25-29,,,14.4
2016,Physical and/or Sexual Violence,Current Partner,,,30-34,,,4.3
2016,Physical and/or Sexual Violence,Current Partner,,,35-39,,,9.7
2016,Physical and/or Sexual Violence,Current Partner,,,40-44,,,6.3
2016,Physical and/or Sexual Violence,Current Partner,,,45-49,,,5.8
2016,Physical and/or Sexual Violence,Current Partner,,,50-54,,,2.8
2016,Physical and/or Sexual Violence,Current Partner,,,55-59,,,2.2
2016,Physical and/or Sexual Violence,Current Partner,,,60-64,,,2.6
2016,No Violence,,,,15-19,,,81.7
2016,No Violence,,,,20-24,,,75.4
2016,No Violence,,,,25-29,,,67.3
2016,No Violence,,,,30-34,,,74.3
2016,No Violence,,,,35-39,,,67.6
2016,No Violence,,,,40-44,,,69.5
2016,No Violence,,,,45-49,,,72.2
2016,None,,,,50-54,,,76.5
2016,None,,,,55-59,,,70.6
2016,No Violence,,,,60-64,,,69.6
2016,Physical Violence,Lifetime Partner,Jamaica,,,,,8.5
2016,Physical Violence,Current Partner,Jamaica,,,,,5.9
2016,Sexual Violence,Lifetime Partner,Jamaica,,,,,7.7
2016,Sexual Violence,Current Partner,Jamaica,,,,,1.9
2016,Physical and/or Sexual Violence,Lifetime Partner,Jamaica,,,,,27.8
2016,Physical and/or Sexual Violence,Current Partner,Jamaica,,,,,7
2016,No Violence,,Jamaica,,,,,72.2
2016,Physical Violence,Lifetime Partner,,,,None/Primary,,32.8
2016,Physical Violence,Lifetime Partner,,,,Secondary,,24.5
2016,Physical Violence,Lifetime Partner,,,,Vocational,,26.5
2016,Physical Violence,Lifetime Partner,,,,Higher,,19.3
2016,Physical Violence,Current Partner,,,,None/Primary,,4.6
2016,Physical Violence,Current Partner,,,,Secondary,,5.2
2016,Physical Violence,Current Partner,,,,Vocational,,6.1
2016,Physical Violence,Lifetime Partner,,,,Higher,,8.2
2016,Physical Violence,Lifetime Partner,,,,None/Primary,,8.2
2016,Physical Violence,Lifetime Partner,,,,Secondary,,8
2016,Physical Violence,Lifetime Partner,,,,Vocational,,7.3
2016,Sexual Violence,Lifetime Partner,,,,Higher,,5.1
2016,Sexual Violence,Current Partner,,,,None/Primary,,2.6
2016,Sexual Violence,Current Partner,,,,Secondary,,2.2
2016,Sexual Violence,Current Partner,,,,Vocational,,0.8
2016,Sexual Violence,Current Partner,,,,Higher,,0.9
2016,Physical and/or Sexual Violence,Lifetime Partner,,,,None/Primary,,32.8
2016,Physical and/or Sexual Violence,Lifetime Partner,,,,Secondary,,27.8
2016,Physical and/or Sexual Violence,Lifetime Partner,,,,Vocational,,28.4
2016,Physical and/or Sexual Violence,Lifetime Partner,,,,Higher,,21.7
2016,Physical and/or Sexual Violence,Current Partner,,,,None/Primary,,4.6
2016,Physical and/or Sexual Violence,Current Partner,,,,Secondary,,6.6
2016,Physical and/or Sexual Violence,Current Partner,,,,Vocational,,6.1
2016,Physical and/or Sexual Violence,Current Partner,,,,Higher,,9.1
2016,No Violence,,,,,None/Primary,,67.2
2016,No Violence,,,,,Secondary,,72.2
2016,No Violence,,,,,Vocational,,71.6
2016,No Violence,,,,,Higher,,78.3
2016,Physical Violence,Lifetime Partner,,,,,19 or Older,24.5
2016,Physical Violence,Lifetime Partner,,,,,18 or younger,45.0
2016,Physical Violence,Current Partner,,,,,19 or Older,4.3
2016,Physical Violence,Current Partner,,,,,18 or younger,16.0
2016,Sexual Violence,Lifetime Partner,,,,,19 or Older,7
2016,Sexual Violence,Lifetime Partner,,,,,18 or younger,12.7
2016,Sexual Violence,Current Partner,,,,,19 or Older,1.4
2016,Sexual Violence,Current Partner,,,,,18 or younger,4.8
2016,Physical and/or Sexual Violence,Lifetime Partner,,,,,19 or Older,27.2
2016,Physical and/or Sexual Violence,Lifetime Partner,,,,,18 or Younger,46.8
2016,Physical and/or Sexual Violence,Current Partner,,,,,19 or Older,5.4
2016,Physical and/or Sexual Violence,Current Partner,,,,,18 or Younger,17.1
2016,No Violence,,,,,,19 or Older,72.8
2016,No Violence,,,,,,18 or Younger,53.2
