Financial soundness indicators,Financial soundness indicators-deposit-taking institution,Institution Type,Value,Year
Financial soundness indicators,Combined ratio (loss + expense ratio),General Insurance,171.2,2021
Financial soundness indicators,Combined ratio (loss + expense ratio),General Insurance,151.8,2022
Financial soundness indicators,Investment Income to net premium,General Insurance,16,2015
Financial soundness indicators,Investment Income to net premium,General Insurance,22.7,2016
Financial soundness indicators,Investment Income to net premium,General Insurance,27.6,2017
Financial soundness indicators,Investment Income to net premium,General Insurance,14.6,2018
Financial soundness indicators,Investment Income to net premium,General Insurance,19,2019
Financial soundness indicators,Investment Income to net premium,General Insurance,12.3,2020
Financial soundness indicators,Investment Income to net premium,General Insurance,13.0,2021
Financial soundness indicators,Investment Income to net premium,General Insurance,18.9,2022
Financial soundness indicators,Return on Equity,General Insurance,5.9,2015
Financial soundness indicators,Return on Equity,General Insurance,9.8,2016
Financial soundness indicators,Return on Equity,General Insurance,4.4,2017
Financial soundness indicators,Return on Equity,General Insurance,4.3,2018
Financial soundness indicators,Return on Equity,General Insurance,5.4,2019
Financial soundness indicators,Return on Equity,General Insurance,5.2,2020
Financial soundness indicators,Return on Equity,General Insurance,4.6,2021
Financial soundness indicators,Return on Equity,General Insurance,5.2,2022
Financial soundness indicators,Liquid assets to total liabilities,General Insurance,84.5,2015
Financial soundness indicators,Liquid assets to total liabilities,General Insurance,83.4,2016
Financial soundness indicators,Liquid assets to total liabilities,General Insurance,76.5,2017
Financial soundness indicators,Liquid assets to total liabilities,General Insurance,70,2018
Financial soundness indicators,Liquid assets to total liabilities,General Insurance,67.5,2019
Financial soundness indicators,Liquid assets to total liabilities,General Insurance,63.9,2020
Financial soundness indicators,Liquid assets to total liabilities,General Insurance,67.8,2021
Financial soundness indicators,Liquid assets to total liabilities,General Insurance,70.2,2022
Financial soundness indicators,Net premium to Capital,Life Insurance,17.0,2017
Financial soundness indicators,Net premium to Capital,Life Insurance,16.1,2018
Financial soundness indicators,Capital to Assets,Life Insurance,26.4,2017
Financial soundness indicators,Capital to Assets,Life Insurance,28.5,2018
Financial soundness indicators,Capital to technical reserves,Life Insurance,81.5,2015
Financial soundness indicators,Capital to technical reserves,Life Insurance,84.6,2016
Financial soundness indicators,Capital to technical reserves,Life Insurance,89,2018
Financial soundness indicators,Capital to technical reserves,Life Insurance,100.0.5,2019
Financial soundness indicators,Capital to technical reserves,Life Insurance,115.8,2020
Financial soundness indicators,Capital to technical reserves,Life Insurance,104.9,2021
Financial soundness indicators,Capital to technical reserves,Life Insurance,111.1,2022
Financial soundness indicators,Capital to technical reserves,Life Insurance,138.1,2023
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,Life Insurance,2.9,2015
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,Life Insurance,3.3,2016
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,Life Insurance,4.7,2018
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,Life Insurance,4.4,2019
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,Life Insurance,5.9,2020
